wp_index,x,y,segment_length_m,cumulative_length_m
129,4.484470454125326,-1.436200965019296,0.05,6.71066
130,4.484470454125326,-1.486200965764354,0.05,6.76066
131,4.434470453380268,-1.536200966509412,0.070711,6.831371
132,4.434470453380268,-1.5862009672544701,0.05,6.881371
133,4.434470453380268,-1.6362009679995282,0.05,6.931371
134,4.434470453380268,-1.6862009687445862,0.05,6.981371
135,4.434470453380268,-1.7362009694896443,0.05,7.031371
136,4.434470453380268,-1.7862009702347024,0.05,7.081371
137,4.434470453380268,-1.8362009709797604,0.05,7.131371
138,4.38447045263521,-1.8862009717248185,0.070711,7.202082
139,4.38447045263521,-1.9362009724698765,0.05,7.252082
140,4.334470451890152,-1.9862009732149346,0.070711,7.322792
141,4.334470451890152,-2.0362009739599927,0.05,7.372792
142,4.2844704511450935,-2.0862009747050507,0.070711,7.443503
143,4.2844704511450935,-2.136200975450109,0.05,7.493503
144,4.2844704511450935,-2.186200976195167,0.05,7.543503
145,4.2844704511450935,-2.236200976940225,0.05,7.593503
146,4.2844704511450935,-2.286200977685283,0.05,7.643503
147,4.2844704511450935,-2.336200978430341,0.05,7.693503
148,4.2844704511450935,-2.386200979175399,0.05,7.743503
149,4.2844704511450935,-2.436200979920457,0.05,7.793503
150,4.2844704511450935,-2.486200980665515,0.05,7.843503
151,4.2844704511450935,-2.5362009814105733,0.05,7.893503
152,4.2844704511450935,-2.5862009821556313,0.05,7.943503
153,4.2844704511450935,-2.6362009829006894,0.05,7.993503
154,4.2844704511450935,-2.6862009836457474,0.05,8.043503
155,4.2844704511450935,-2.7362009843908055,0.05,8.093503
156,4.2844704511450935,-2.7862009851358636,0.05,8.143503
157,4.2844704511450935,-2.8362009858809216,0.05,8.193503
158,4.2844704511450935,-2.8862009866259797,0.05,8.243503
159,4.2844704511450935,-2.9362009873710377,0.05,8.293503
160,4.2844704511450935,-2.986200988116096,0.05,8.343503
161,4.2844704511450935,-3.036200988861154,0.05,8.393503
162,4.2344704504000354,-3.086200989606212,0.070711,8.464214
163,4.184470449654977,-3.13620099035127,0.070711,8.534924
164,4.134470448909919,-3.186200991096328,0.070711,8.605635
165,4.084470448164861,-3.236200991841386,0.070711,8.676346
166,4.034470447419803,-3.286200992586444,0.070711,8.747056
167,3.984470446674745,-3.336200993331502,0.070711,8.817767
168,3.934470445929687,-3.3862009940765603,0.070711,8.888478
169,3.884470445184629,-3.4362009948216183,0.070711,8.959188
170,3.834470444439571,-3.4862009955666764,0.070711,9.029899
171,3.784470443694513,-3.5362009963117345,0.070711,9.10061
172,3.734470442949455,-3.5862009970567925,0.070711,9.17132
173,3.684470442204397,-3.6362009978018506,0.070711,9.242031
174,3.6344704414593387,-3.6862009985469086,0.070711,9.312742
175,3.5844704407142807,-3.7362009992919667,0.070711,9.383453
176,3.5344704399692226,-3.7862010000370248,0.070711,9.454163
177,3.4844704392241646,-3.836201000782083,0.070711,9.524874
178,3.4844704392241646,-3.886201001527141,0.05,9.574874
179,3.4844704392241646,-3.886201001527141,0.0,9.574874
180,3.4344704384791065,-3.836201000782083,0.070711,9.645585
181,3.3844704377340484,-3.7862010000370248,0.070711,9.716295
182,3.3344704369889904,-3.7362009992919667,0.070711,9.787006
183,3.3344704369889904,-3.6862009985469086,0.05,9.837006
184,3.3344704369889904,-3.6362009978018506,0.05,9.887006
185,3.3344704369889904,-3.5862009970567925,0.05,9.937006
186,3.2844704362439323,-3.5362009963117345,0.070711,10.007717
187,3.2344704354988743,-3.4862009955666764,0.070711,10.078427
188,3.184470434753816,-3.4362009948216183,0.070711,10.149138
189,3.134470434008758,-3.3862009940765603,0.070711,10.219849
190,3.0844704332637,-3.336200993331502,0.070711,10.290559
191,3.034470432518642,-3.286200992586444,0.070711,10.36127
192,3.034470432518642,-3.236200991841386,0.05,10.41127
193,3.034470432518642,-3.186200991096328,0.05,10.46127
194,3.034470432518642,-3.13620099035127,0.05,10.51127
195,3.034470432518642,-3.086200989606212,0.05,10.56127
196,3.034470432518642,-3.036200988861154,0.05,10.61127
197,3.034470432518642,-2.986200988116096,0.05,10.66127
198,3.034470432518642,-2.9362009873710377,0.05,10.71127
199,3.034470432518642,-2.8862009866259797,0.05,10.76127
200,3.034470432518642,-2.8362009858809216,0.05,10.81127
201,3.034470432518642,-2.7862009851358636,0.05,10.86127
202,3.034470432518642,-2.7362009843908055,0.05,10.91127
