t,joy_throttle,joy_steering,U_1
11.3826656341553,1,0,0.2
11.4389748573303,1,0,0.2
11.4867248535156,1,0,0.2
11.5462002754211,1,0,0.2
11.5868773460388,1,0,0.2
11.6356177330017,1,0,0.2
11.7346680164337,1,0,0.2
11.7919816970825,1,0,0.2
11.8341279029846,1,0,0.2
11.8890264034271,1,0,0.2
11.9897353649139,1,0,0.2
12.0555019378662,1,0,0.2
12.1427593231201,1,0,0.2
12.1982190608978,1,0,0.2
12.2880463600159,1,0,0.2
12.38694190979,1,0,0.2
12.4501416683197,1,0,0.2
12.548238992691,1,0,0.2
12.6497550010681,1,0,0.2
12.7408893108368,1,0,0.2
12.8409690856934,1,0,0.2
12.9057650566101,1,0,0.2
12.9365346431732,1,0,0.2
12.9886372089386,1,0,0.2
13.0948956012726,1,0,0.2
13.1396787166595,1,0,0.2
13.1916811466217,1,0,0.2
13.2914571762085,1,0,0.2
13.3882749080658,1,0,0.2
13.4453177452087,1,0,0.2
13.4892389774323,1,0,0.2
13.5479872226715,1,0,0.2
13.5996286869049,1,0,0.2
14.0670471191406,1,0,0.2
14.0684058666229,1,0,0.2
14.087856054306,1,0,0.2
14.0902395248413,1,0,0.2
14.0903205871582,1,0,0.2
14.0911066532135,1,0,0.2
14.1111810207367,1,0,0.2
14.1474571228027,1,0,0.2
14.1958062648773,1,0,0.2
14.2477445602417,1,0,0.2
14.3072564601898,1,0,0.2
14.3490681648254,1,0,0.2
14.402526140213,1,0,0.2
14.4481065273285,1,0,0.2
14.5062034130096,1,0,0.2
14.6104602813721,1,0,0.2
14.7111299037933,1,0,0.2
14.7475893497467,1,0,0.2
14.8020553588867,1,0,0.2
14.8610472679138,1,0,0.2
14.9153163433075,1,0,0.2
14.9542698860168,1,0,0.2
15.0103018283844,1,0,0.2
15.05473279953,1,0,0.2
15.1525814533234,1,0,0.2
15.2148690223694,1,0,0.2
15.2539246082306,1,0,0.2
15.304615020752,1,0,0.2
15.350768327713,1,0,0.2
15.4024937152863,1,0,0.2
15.4541087150574,1,0,0.2
15.550922870636,1,0,0.2
15.6530969142914,1,0,0.2
15.7529842853546,1,0,0.2
15.8043119907379,1,0,0.2
15.9077718257904,1,0,0.2
15.9570236206055,1,0,0.2
16.0029945373535,1,0,0.2
16.0585942268372,1,0,0.2
